datetime,X_gyro,Y_gyro,Z_gyro,X_acc,Y_acc,Z_acc,X_comp,Y_comp,Z_comp,BPM,Label
37:28.4,0.378287017,-0.298355579,0.168522552,-0.101318359,0.169433594,1.163330078,-5621.054688,2831.477295,5751.762695,72,1
37:28.6,-0.439037859,0.074655317,-0.024634296,-0.066162109,0.067138672,0.670166016,-5612.532715,2832.34668,5750.955566,94,1
37:28.8,-0.385294497,0.006012799,-0.431700408,-0.117675781,0.128417969,0.895019531,-5611.124023,2829.48291,5753.712402,94,1
37:29.0,-0.013879929,0.142233625,0.368596882,-0.032226563,0.17578125,0.774414063,-5611.032227,2826.658203,5757.431152,94,1
37:29.2,-0.083130404,-0.060601279,-0.047928065,-0.154296875,0.130859375,0.906982422,-5614.768555,2824.047852,5757.496094,94,1
37:29.5,0.4601565,-0.077096768,-0.139451414,-0.112304688,0.150390625,0.773681641,-5612.494141,2825.844482,5756.878418,94,1
37:29.7,-0.141435489,-0.087342978,-0.121320218,-0.112060547,0.033935547,0.923095703,-5620.45459,2828.951172,5754.612793,109,1
37:29.9,-0.427086323,0.42106998,-0.127878696,-0.166503906,-0.016113281,1.104980469,-5625.016113,2825.001709,5754.356445,109,1
37:30.1,-0.344608873,-0.252584517,-0.17364037,-0.234619141,-0.106201172,1.106445313,-5636.350586,2822.962158,5756.229004,109,1
37:30.3,0.000714516,-0.046051987,-0.109737858,-0.21484375,-0.147216797,1.230957031,-5642.214844,2820.792969,5758.327148,109,1
37:30.5,0.667331934,-0.291651785,0.125453308,-0.122802734,-0.031982422,1.316650391,-5634.213379,2821.843994,5757.927734,109,1
37:30.7,0.038907021,-0.160219982,-0.109740436,0.029785156,0.108642578,0.854003906,-5623.991211,2825.69751,5754.616211,103,1
37:30.9,-0.747555315,-0.009632133,0.004131649,0.044677734,0.191162109,0.810058594,-5616.585449,2828.021484,5754.581055,103,1
37:31.1,-0.052616343,0.213323027,-0.148052543,-0.126708984,0.027099609,1.138427734,-5616.393555,2824.308594,5756.866211,103,1
37:31.3,0.086782813,-0.010438614,0.121391758,-0.256835938,0.077148438,0.779541016,-5621.578613,2824.44751,5757.243164,103,1
